#averageSimJcn NoOfWords
0.18577610677575918 8.0
0.6265744730323068 12.0
0.4565253360853167 23.0
0.22406171184938786 18.0
0.22017908951201087 18.0
0.23000851315093995 7.0
0.23738058088013672 12.0
0.23000851315093995 7.0
1.0 11.0
0.4799356336299707 9.0
0.5351896574076517 17.0
0.3286172910966762 21.0
0.7082834975951872 6.0
0.24106661474473515 3.0
0.18577610677575918 2.0
0.4379008231142895 3.0
0.3453339513371876 25.0
0.772440866250136 27.0
0.18577610677575918 3.0
0.37155221355151835 23.0
0.37155221355151835 23.0
0.0 2.0
0.2089981201227291 12.0
0.9015729326301247 5.0
0.18577610677575918 11.0
0.18577610677575918 11.0
0.5077688532462313 6.0
0.2806128605843635 7.0
0.25290290709382757 56.0
0.5573283203272775 2.0
0.24451895801870496 19.0
0.45594206905858453 13.0
0.3862108110084164 19.0
0.18577610677575918 8.0
0.2499130960197713 12.0
0.49469222260219686 22.0
0.28347369715016674 12.0
0.530788876502169 6.0
0.18577610677575918 7.0
0.3932260926753569 7.0
0.2662790863785882 10.0
0.857188160782909 6.0
0.4931763676414444 34.0
0.18577610677575918 3.0
0.5920949917381696 17.0
0.25191743804163513 18.0
0.0 3.0
0.447197776527936 13.0
0.3094945254618951 12.0
0.37155221355151835 8.0
0.21728199622895808 7.0
0.45597713318628 11.0
0.257499038884629 8.0
0.4563965194536827 15.0
0.25286192311145 5.0
0.18577610677575918 4.0
0.29336366541402265 14.0
0.18577610677575918 4.0
0.4329932141417435 25.0
0.6066990063567873 4.0
0.4155341760635333 10.0
0.2783692774544709 8.0
0.29192095334944834 55.0
0.0 2.0
0.18577610677575918 4.0
0.6811790581777837 2.0
0.3578922057003596 7.0
0.2631828179323255 4.0
0.2647309521554568 10.0
0.4662631782324356 8.0
0.37870179576838375 13.0
0.314787292036703 22.0
0.23811778765305638 15.0
0.18577610677575918 14.0
0.650076692431867 8.0
0.3096268446262653 3.0
0.4240888187371209 9.0
0.3063172898943436 43.0
0.3628333257564106 8.0
0.31319567901336914 25.0
0.18577610677575918 7.0
0.18577610677575918 2.0
0.36363461971196914 18.0
0.4679126379741306 14.0
0.4528563255495342 3.0
0.3399454196281709 53.0
0.20823790580539048 10.0
0.3248291837030413 57.0
0.3726528894459278 23.0
0.2987874747123474 18.0
0.3492098219222367 32.0
0.41621942303803083 7.0
0.39949343699427636 8.0
0.5108842936333378 8.0
0.3868123937509558 7.0
0.18577610677575918 4.0
0.3911555230642339 22.0
0.551250716735716 15.0
0.5793968660105486 17.0
0.4473924471450725 8.0
0.3242637500085978 3.0
0.34096446685912873 19.0
0.3096268446262653 6.0
0.4465777914901216 17.0
0.6811790581777837 2.0
0.23841267036222427 10.0
