#averageSimlch NoOfWords
0.8054541569993229 8.0
0.866364312422781 12.0
0.9206285035823457 23.0
0.8407786881824776 18.0
0.818048925124288 18.0
0.8309509543586837 7.0
0.7578380121159489 12.0
0.7261839590492672 7.0
0.9424222768866928 11.0
0.8582703717329577 9.0
0.9597221842422256 17.0
0.7842877954934094 21.0
0.949616807363735 6.0
0.6650491247826396 3.0
0.5888604578559911 2.0
0.822031813635167 3.0
0.8106882614582527 25.0
0.8726215623365134 27.0
0.7433490952715437 3.0
0.8885817926450063 23.0
0.8885817926450063 23.0
0.8427962489793115 12.0
0.832249307532532 5.0
0.738092622131074 11.0
0.8198751443872522 11.0
0.8567453296843963 6.0
0.8164739960463956 7.0
0.8925449660137053 56.0
0.6466484862011008 2.0
0.7996620490710381 19.0
0.86508642502462 13.0
0.8669586322306019 19.0
0.7726190849421425 8.0
0.8710612886518209 12.0
0.9219804229198648 22.0
0.6784488824618773 12.0
0.8610109594769504 6.0
0.8037546463448759 7.0
0.8757520795432032 7.0
0.7551600175203403 10.0
0.8602672846451472 6.0
0.9023912599234539 34.0
0.6626979727705261 3.0
0.8713336624081723 17.0
0.8429883691409119 18.0
0.8158813174705221 13.0
0.7691799854815179 12.0
0.7069797923817052 8.0
0.8795540741673411 7.0
0.8422328600378359 11.0
0.7461706864716399 8.0
0.8277305458928936 15.0
0.7311177309523306 5.0
0.717160521377028 4.0
0.7992837071448973 14.0
0.7302981990655973 4.0
0.8622525744071272 25.0
0.8641963676014702 4.0
0.8333952014155237 10.0
0.7840790702142161 8.0
0.9256650807225545 55.0
0.8016014454707653 4.0
0.6056561176185392 2.0
0.8383390568780394 7.0
0.8545074206551536 4.0
0.6891855214944109 10.0
0.758482437121576 8.0
0.7860949163309194 13.0
0.8577581471773429 22.0
0.850460572832049 15.0
0.7824856521678623 14.0
0.9066963959068226 8.0
0.7422849045636825 3.0
1.0 9.0
0.8464414960492638 43.0
0.7525532652480228 8.0
0.8533085709208874 25.0
0.8779232418621223 7.0
0.7859982273929738 2.0
0.8804091976454929 18.0
0.8705897544759191 14.0
0.7674772235576494 3.0
0.828048971309579 53.0
0.8414266339866401 10.0
0.8310888441715141 57.0
0.9010063098084585 23.0
0.881204702368234 18.0
0.8361200258592643 32.0
0.9231954500285202 7.0
0.8357977801532865 8.0
0.7718415712785123 8.0
0.732910558362353 7.0
0.7357653834224198 4.0
0.7792763365047461 22.0
0.8364900101415986 15.0
0.8362279215073108 17.0
0.8379556890770226 8.0
0.7855667884052276 3.0
0.9152935765177711 19.0
0.7969508520181129 6.0
0.844470544837695 17.0
0.6056561176185392 2.0
0.7126732280009538 10.0
