#averageSimLiEtAl NoOfWords
0.6821790719796181 8.0
0.7608203313275331 12.0
0.8781382870745307 23.0
0.8244116947376916 18.0
0.7661762612772545 18.0
0.800579291932217 7.0
0.687613821724675 12.0
0.7317512637123889 7.0
0.7117702355349802 11.0
0.7456614619522246 9.0
0.8437025977730446 17.0
0.7323271497039159 21.0
0.6142693311904507 6.0
0.4194038792545679 3.0
0.3770249612859014 2.0
0.7804390586967761 3.0
0.8343153247313836 25.0
0.8414946161805696 27.0
0.6404368447082004 3.0
0.7901972879362376 23.0
0.7901972879362376 23.0
0.026557829697477102 2.0
0.7435299580940548 12.0
0.5392734737895983 5.0
0.7794571871855388 11.0
0.6200374934279558 11.0
0.7418682796168228 6.0
0.6508871216073083 7.0
0.9530692123286926 56.0
0.593866364555876 2.0
0.7881998273209794 19.0
0.5963204756493559 13.0
0.7400167069243629 19.0
0.4140350606607398 8.0
0.7225396877724651 12.0
0.8700477154382281 22.0
0.6771279513321782 12.0
0.5998687464957752 6.0
0.5602297729059227 7.0
0.7645664126162404 7.0
0.6507245284005901 10.0
0.5875212279417698 6.0
0.8549468729389653 34.0
0.2897019952045817 3.0
0.8722313269039051 17.0
0.6888357785787005 18.0
0.3352275552871142 3.0
0.748862660422312 13.0
0.731448999130373 12.0
0.7755502069825242 8.0
0.7888447859825267 7.0
0.75147542180083 11.0
0.5864631041635902 8.0
0.8468712602163505 15.0
0.42382907372349216 5.0
0.39131863085097623 4.0
0.8107573936514172 14.0
0.7286886053170637 4.0
0.7587648563429384 25.0
0.661247976133865 4.0
0.7008948841144566 10.0
0.6737238944057913 8.0
0.8075273417798836 55.0
0.3137063314139366 2.0
0.3460093440089294 4.0
0.5909376291913679 2.0
0.5539080427553612 7.0
0.6267166508871154 4.0
0.7512435862069962 10.0
0.6867202748704073 8.0
0.6343500595740981 13.0
0.6636123018987562 22.0
0.7320114660984876 15.0
0.7166566879578238 14.0
0.7230916735127114 8.0
0.6752055974106252 3.0
0.6620863393381352 9.0
0.8671393491268261 43.0
0.7870568912325084 8.0
0.8799558255505763 25.0
0.3924925013791581 7.0
0.026557829697477102 2.0
0.7359352077717729 18.0
0.683596745842801 14.0
0.5166119759755138 3.0
1.0 53.0
0.6728013101911166 10.0
0.9821019571398507 57.0
0.6741676311517789 23.0
0.7310652572571418 18.0
0.898410018015969 32.0
0.5507080303747055 7.0
0.7262515186798554 8.0
0.5373215931278031 8.0
0.7120567660727185 7.0
0.5500165769211852 4.0
0.8026521397647843 22.0
0.706662303686737 15.0
0.9144201968833223 17.0
0.7137779287173679 8.0
0.4674750115550363 3.0
0.931781948855738 19.0
0.6089957879267851 6.0
0.739559626708341 17.0
0.5909376291913679 2.0
0.728616367213786 10.0
