#averageSimTfidf NoOfWords
0.362892211326874 8.0
0.6745553010519943 12.0
0.5783472566377993 23.0
0.41203447675444455 18.0
0.4454710268193889 18.0
0.2878310349649844 7.0
0.4363642101139356 12.0
0.2645096189832567 7.0
1.0 11.0
0.34621228636526974 9.0
0.7032533780782249 17.0
0.32973392801157825 21.0
0.46206243080139864 6.0
0.25570017713097504 3.0
0.22523805084877607 2.0
0.5376051361179123 3.0
0.575741937442046 25.0
0.5296048912953429 27.0
0.46316934145195443 3.0
0.6270496351321384 23.0
0.6270496351321384 23.0
0.22523805084877607 2.0
0.2860074618506751 12.0
0.6705285140883164 5.0
0.3293789651091249 11.0
0.27187235006560284 11.0
0.4932329328730148 6.0
0.4827602843652057 7.0
0.54651816689874 56.0
0.4509206930656505 2.0
0.42094991832108253 19.0
0.4504649164529049 13.0
0.7243758529524177 19.0
0.225238050848776 8.0
0.2923352042143632 12.0
0.5198864910648009 22.0
0.4196580992371697 12.0
0.36062575110977174 6.0
0.28421959885969394 7.0
0.5064761721455043 7.0
0.5999877192811195 10.0
0.5452806029905362 6.0
0.7462109642261421 34.0
0.22523805084877607 3.0
0.9643219787305932 17.0
0.8088029003443581 18.0
0.22523805084877607 3.0
0.36708704671177 13.0
0.38436686505172474 12.0
0.3825151151341043 8.0
0.3236324574137758 7.0
0.5721764832644551 11.0
0.3315140187983766 8.0
0.6406549846468299 15.0
0.2529371292997975 5.0
0.2469986447928371 4.0
0.3052065117146192 14.0
0.22523805084877607 4.0
0.32851359811799885 25.0
0.453854446361027 4.0
0.4220616102359544 10.0
0.6448511885973036 8.0
0.4433177375967368 55.0
0.22523805084877607 2.0
0.22523805084877602 4.0
0.6558993563406627 2.0
0.3310145153310336 7.0
0.2975567214079932 4.0
0.49704077757769866 10.0
0.2663083575263722 8.0
0.4472326966781937 13.0
0.48032575382464443 22.0
0.37552909993467115 15.0
0.26372129745662176 14.0
0.6161457661501634 8.0
0.4185491878485472 3.0
0.44133663174876764 9.0
0.4538344891686731 43.0
0.40400272133981363 8.0
0.3470410003724466 25.0
0.22523805084877602 7.0
0.22523805084877607 2.0
0.34634664534643667 18.0
0.3684565748094982 14.0
0.3068741164736177 3.0
0.5498122866259731 53.0
0.3581583181663829 10.0
0.7842914935233007 57.0
0.43909334703987485 23.0
0.47747307844859904 18.0
0.5564429842298835 32.0
0.3765532307287403 7.0
0.32771315617513724 8.0
0.4366761553901808 8.0
0.36216954051428635 7.0
0.6051127105393519 22.0
0.3025043997190415 4.0
0.43013411747785907 15.0
0.4575425316177738 17.0
0.5268262779297843 8.0
0.265934728948262 3.0
0.3725943091072341 19.0
0.3937153151965968 6.0
0.6120724595097196 17.0
0.6558993563406627 2.0
0.367079186871127 10.0
